month,SO2,NO2,CO,OZONE,PM10,PM25,id,city,population,popdense,area,other_frac,car_frac,pt_frac,Car,PT,Other,Temp,RH,Pressure,Wind,Precip
1,NA,NA,NA,0.0127489375,NA,NA,Ales1,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,32.7674235808,NA,1015.40712074,5.09501119068,40.0
2,NA,NA,NA,0.0177695588235,NA,NA,Ales2,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,37.5881521739,NA,1006.42122905,6.71822092754,65.4
3,NA,NA,NA,0.0183236666667,NA,NA,Ales3,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,43.1497394137,NA,1017.16056572,6.1132818241,57.7
4,NA,NA,NA,0.019749,NA,NA,Ales4,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,51.4024271845,NA,1018.31812298,5.1269566343,14.3
5,NA,NA,NA,0.0204820434783,NA,NA,Ales5,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,54.3161769912,NA,1015.96778761,4.94320232212,116.2
6,NA,NA,NA,0.0235129666667,NA,NA,Ales6,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,62.5313888889,NA,1014.83047002,4.15675785185,102.7
7,NA,NA,NA,0.0231760322581,NA,NA,Ales7,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,68.1781282496,NA,1017.33393178,3.63636203813,22.0
8,NA,NA,NA,0.0260375967742,NA,NA,Ales8,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,64.0690033223,NA,1016.40348432,4.50044917688,47.5
9,NA,NA,NA,0.025343,NA,NA,Ales9,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,56.2761383285,NA,1016.07281713,3.51323798844,55.8
10,NA,NA,NA,0.0246351612903,NA,NA,Ales10,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,50.4654518072,NA,1013.9507438,4.99263062822,55.4
11,NA,NA,NA,0.0203319137931,NA,NA,Ales11,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,44.8516299559,NA,1008.5262215,5.59945804405,73.8
12,NA,NA,NA,0.0172800892857,NA,NA,Ales12,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,33.8151807229,NA,1013.58344051,4.47881257478,74.5
1,NA,NA,NA,0.0202358709677,NA,NA,Angers1,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,36.231797235,NA,1015.64254992,5.51829601229,40.8
2,NA,NA,NA,0.0309089444444,NA,NA,Angers2,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,40.8196979866,NA,1005.0385906,7.68256361809,72.8
3,NA,NA,NA,0.0324985806452,NA,NA,Angers3,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,46.0525454545,NA,1017.06015152,7.16187231515,68.5
4,NA,NA,NA,0.03911195,NA,NA,Angers4,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,52.9157073171,NA,1019.03284553,6.25379158374,16.5
5,NA,NA,NA,0.0379496612903,NA,NA,Angers5,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,56.8403114187,NA,1017.25207612,5.67143905882,28.6
6,NA,NA,NA,0.03788395,NA,NA,Angers6,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,65.2446153846,NA,1016.20785256,4.81754576923,45.4
7,NA,NA,NA,0.034589983871,NA,NA,Angers7,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,70.145588697,NA,1018.11993721,5.45892523705,8.6
8,NA,NA,NA,0.0296794516129,NA,NA,Angers8,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,65.7717337461,NA,1017.51857585,5.66090741796,34.7
9,NA,NA,NA,0.0313861,NA,NA,Angers9,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,60.9222258065,NA,1016.81177419,4.42616771521,68.2
10,NA,NA,NA,0.0246728387097,NA,NA,Angers10,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,54.1673239437,NA,1013.6915493,5.17098290047,54.3
11,NA,NA,NA,0.0218213333333,NA,NA,Angers11,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,45.81021875,NA,1008.06328125,5.90502145,79.3
12,NA,NA,NA,0.017167016129,NA,NA,Angers12,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,36.00246875,NA,1013.90578125,5.315491225,96.1
1,0.256335877863,18.3931914894,0.343406113537,0.008936675,43.35,NA,Arras1,Arras,128784.0,500.388799191,257.36787116,NA,NA,NA,NA,NA,NA,31.4482106685,NA,NA,7.49193183234,NA
2,0.554343874955,15.0463297872,0.310917030568,0.019751952381,26.619047619,NA,Arras2,Arras,128784.0,500.388799191,257.36787116,NA,NA,NA,NA,NA,NA,36.3943597561,NA,NA,10.0439635122,NA
3,0.999672846238,14.3660037003,0.263256394261,0.0229365652174,33.347826087,NA,Arras3,Arras,128784.0,500.388799191,257.36787116,NA,NA,NA,NA,NA,NA,43.2903361345,NA,NA,10.7290718097,NA
4,NA,11.3598057354,NA,0.0292555,30.375,NA,Arras4,Arras,128784.0,500.388799191,257.36787116,NA,NA,NA,NA,NA,NA,49.4686588921,NA,NA,9.16792584257,NA
5,NA,7.10101317123,NA,0.0299945952381,22.2857142857,NA,Arras5,Arras,128784.0,500.388799191,257.36787116,NA,NA,NA,NA,NA,NA,53.0623003195,NA,NA,8.2871499569,NA
6,NA,7.42344858156,NA,0.0338695192308,25.8,NA,Arras6,Arras,128784.0,500.388799191,257.36787116,NA,NA,NA,NA,NA,NA,62.4803394625,NA,NA,7.55979048266,NA
7,0.51679389313,6.21940222898,0.15327510917,0.029871,23.380952381,NA,Arras7,Arras,128784.0,500.388799191,257.36787116,NA,NA,NA,NA,NA,NA,67.4663380282,NA,NA,7.06822326864,NA
8,0.499351145038,4.75082978723,0.151650655022,0.0257628,16.5909090909,NA,Arras8,Arras,128784.0,500.388799191,257.36787116,NA,NA,NA,NA,NA,NA,62.0963534362,NA,NA,8.12255217952,NA
9,0.713120229008,11.7883991895,0.178711790393,0.0215754047619,23.2380952381,NA,Arras9,Arras,128784.0,500.388799191,257.36787116,NA,NA,NA,NA,NA,NA,57.7031136857,NA,NA,7.28918886604,NA
10,NA,13.9089159068,NA,0.0161308333333,23.5238095238,NA,Arras10,Arras,128784.0,500.388799191,257.36787116,NA,NA,NA,NA,NA,NA,50.7392170819,NA,NA,8.86833765125,NA
11,NA,14.5993657938,NA,0.0131448518519,23.92,NA,Arras11,Arras,128784.0,500.388799191,257.36787116,NA,NA,NA,NA,NA,NA,42.107904835,NA,NA,8.87691906063,NA
12,NA,19.4801489362,NA,0.01044584,27.4,NA,Arras12,Arras,128784.0,500.388799191,257.36787116,NA,NA,NA,NA,NA,NA,30.4079885877,NA,NA,8.31774959201,NA
1,1.40159033079,NA,NA,0.0170757,NA,NA,Avignon1,Avignon,515536.0,1527.41158426,337.52264636,NA,NA,NA,NA,NA,NA,37.2546433378,NA,NA,7.33034360162,NA
2,2.00134950927,NA,NA,0.0260267857143,NA,NA,Avignon2,Avignon,515536.0,1527.41158426,337.52264636,NA,NA,NA,NA,NA,NA,42.5196048632,NA,NA,8.4754968997,NA
3,0.672001969958,NA,NA,0.0348905,NA,NA,Avignon3,Avignon,515536.0,1527.41158426,337.52264636,NA,NA,NA,NA,NA,NA,47.5667117727,NA,NA,8.29801359675,NA
4,0.743761516188,NA,NA,0.0411370166667,NA,NA,Avignon4,Avignon,515536.0,1527.41158426,337.52264636,NA,NA,NA,NA,NA,NA,56.4352201258,NA,NA,5.56106678966,NA
5,0.494643327191,NA,NA,0.037792983871,NA,NA,Avignon5,Avignon,515536.0,1527.41158426,337.52264636,NA,NA,NA,NA,NA,NA,60.763587323,NA,NA,8.30664133693,NA
6,0.535318066158,NA,NA,0.0456873666667,NA,NA,Avignon6,Avignon,515536.0,1527.41158426,337.52264636,NA,NA,NA,NA,NA,NA,68.813125,NA,NA,6.44692786026,80.6
7,0.650941475827,NA,NA,0.047912516129,NA,NA,Avignon7,Avignon,515536.0,1527.41158426,337.52264636,NA,NA,NA,NA,NA,NA,76.2297646268,NA,NA,6.4743421555,53.2
8,0.437700073873,NA,NA,0.0427002741935,NA,NA,Avignon8,Avignon,515536.0,1527.41158426,337.52264636,NA,NA,NA,NA,NA,NA,72.0760542373,NA,NA,6.05211896966,106.5
9,0.589503816794,NA,NA,0.0365412833333,NA,NA,Avignon9,Avignon,515536.0,1527.41158426,337.52264636,NA,NA,NA,NA,NA,NA,62.9056555634,NA,NA,5.03110723608,83.5
10,0.577210046787,NA,NA,0.0275567096774,NA,NA,Avignon10,Avignon,515536.0,1527.41158426,337.52264636,NA,NA,NA,NA,NA,NA,55.2494053315,NA,NA,6.98974122972,79.2
11,0.653002544529,NA,NA,0.0208360333333,NA,NA,Avignon11,Avignon,515536.0,1527.41158426,337.52264636,NA,NA,NA,NA,NA,NA,47.4450878426,NA,NA,5.40548596629,185.7
