CBSA Name,month,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,TEMP,PRESS,RH,DP,WIND,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010,alone,alone_frac,carpool,carpool_frac,other,other_frac,pt,pt_frac,total_trans
"Aberdeen, SD",1.0,45.4625,-98.486111,12.34,46.8,NA,NA,14.4,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen, SD",2.0,45.4625,-98.486111,16.0333333333,56.6666666667,NA,NA,21.0,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen, SD",3.0,45.4625,-98.486111,10.5333333333,40.4444444444,NA,NA,17.4,16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen, SD",4.0,45.4625,-98.486111,7.52,31.2,NA,NA,24.8,23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen, SD",5.0,45.4625,-98.486111,6.05,25.4,NA,NA,20.8,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen, SD",6.0,45.4625,-98.486111,6.84,28.5,NA,NA,21.2,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen, SD",7.0,45.4625,-98.486111,8.40909090909,34.9090909091,NA,NA,21.0,19.3333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen, SD",8.0,45.4625,-98.486111,9.2,38.4,NA,NA,25.2,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen, SD",9.0,45.4625,-98.486111,4.02222222222,16.7777777778,NA,NA,12.3333333333,11.3333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen, SD",10.0,45.4625,-98.486111,7.55,30.7,NA,NA,30.1666666667,28.1666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen, SD",11.0,45.4625,-98.486111,6.6,27.5,NA,NA,11.4,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aberdeen, SD",12.0,45.4625,-98.486111,9.71818181818,37.5454545455,NA,NA,10.8,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",1.0,41.995568,-83.946559,12.0,45.0,9.82,36.0,NA,NA,25.2580644839,985.500000032,NA,NA,4.95416664516,NA,NA,NA,NA,NA,NA,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",2.0,41.995568,-83.946559,7.91111111111,30.4444444444,8.06,31.8,NA,NA,28.1651785714,981.968749929,NA,NA,4.26063985714,NA,NA,NA,NA,NA,NA,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",3.0,41.995568,-83.946559,9.85,34.6,11.68,39.0,NA,NA,40.6693548387,982.700268806,NA,NA,4.26317212903,NA,NA,NA,NA,NA,NA,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",4.0,41.995568,-83.946559,6.58,27.0,8.7,35.4,NA,NA,53.4333333667,981.929166667,NA,NA,4.6132638,NA,NA,NA,NA,NA,NA,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",5.0,41.995568,-83.946559,7.2,29.4,6.76,27.0,NA,NA,61.1706989677,983.606182839,NA,NA,3.39139790323,NA,NA,NA,NA,0.0380166538462,45.4615384615,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",6.0,41.995568,-83.946559,8.01111111111,32.2222222222,10.14,39.6,NA,NA,69.8638889,981.613888933,NA,NA,3.3090972,NA,NA,NA,NA,0.0366486333333,42.1666666667,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",7.0,41.995568,-83.946559,10.9181818182,42.3636363636,11.9166666667,45.0,NA,NA,74.891129,983.668010677,NA,NA,2.71491932258,NA,NA,NA,NA,0.0371773870968,46.0322580645,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",8.0,41.995568,-83.946559,12.59,46.6,15.35,57.25,NA,NA,73.1317204516,983.529569871,NA,NA,2.6719086129,NA,NA,NA,NA,0.037077875,45.25,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",9.0,41.995568,-83.946559,5.17,21.6,7.7,31.8,NA,NA,62.6611111,983.0888889,NA,NA,4.05319446667,NA,NA,NA,NA,0.0281192333333,33.5666666667,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",10.0,41.995568,-83.946559,5.6,23.25,7.68,32.0,NA,NA,53.391129,982.814516097,NA,NA,4.60423380645,NA,NA,NA,NA,NA,NA,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",11.0,41.995568,-83.946559,10.14,41.3,12.6,50.2,NA,NA,40.4166667,985.681944433,NA,NA,4.6314584,NA,NA,NA,NA,NA,NA,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",12.0,41.995568,-83.946559,10.1727272727,38.5454545455,15.1,52.0,NA,NA,26.1102150968,984.545698968,NA,NA,5.37499996774,NA,NA,NA,NA,NA,NA,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akron, OH",1.0,41.086278037,-81.4377770185,14.5666666667,51.2222222222,4.8,19.25,NA,NA,NA,NA,NA,NA,NA,0.331034983871,4.38709677419,NA,NA,NA,NA,2.80649940323,11.3225806452,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Akron, OH",2.0,41.080715875,-81.4533593125,16.1833333333,56.0,14.62,52.6,NA,NA,NA,NA,NA,NA,NA,0.367867767857,5.14285714286,NA,NA,NA,NA,3.06610128571,13.1428571429,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Akron, OH",3.0,41.0747976514,-81.4535095321,14.0303516697,48.256097561,13.56,45.6,NA,NA,NA,NA,NA,NA,NA,0.338575258065,4.38709677419,NA,NA,0.0155,13.5,2.76671798387,12.0806451613,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Akron, OH",4.0,41.0752366542,-81.4538998318,11.3868460748,42.5128205128,9.56,37.6,NA,NA,NA,NA,NA,NA,NA,0.324837933333,4.35,NA,NA,0.0298390666667,37.65,3.16573123333,13.1666666667,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Akron, OH",5.0,41.074422,-81.4549472174,12.2356884174,44.6428571429,10.12,37.2,NA,NA,NA,NA,NA,NA,NA,0.30931083871,3.58064516129,NA,NA,0.0310463870968,41.5161290323,1.57690459677,8.27419354839,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Akron, OH",6.0,41.073423945,-81.4543209633,15.5938588349,54.0506329114,11.54,45.4,NA,NA,NA,NA,NA,NA,NA,0.317847216667,3.58333333333,NA,NA,0.03296195,40.4833333333,1.15982731667,6.8,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Akron, OH",7.0,41.0751087227,-81.4540643109,18.9560224202,63.0454545455,16.3,56.6666666667,NA,NA,NA,NA,NA,NA,NA,0.375067177419,4.74193548387,NA,NA,0.0337210806452,49.4516129032,1.77677871667,9.9,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Akron, OH",8.0,41.0744990095,-81.4558392952,18.9834685048,62.7820512821,15.16,55.0,NA,NA,NA,NA,NA,NA,NA,0.334946241935,4.08064516129,NA,NA,0.0329879032258,50.5806451613,1.71640319355,9.5,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Akron, OH",9.0,41.0744957321,-81.4539232768,11.6379836339,42.0853658537,11.3,42.8,NA,NA,NA,NA,NA,NA,NA,0.302708333333,3.16666666667,NA,NA,0.02413165,31.35,1.53399211667,9.45,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Akron, OH",10.0,41.0745735229,-81.4528429725,12.1162811468,42.4487179487,10.46,40.8,NA,NA,NA,NA,NA,NA,NA,0.358131725806,4.48387096774,NA,NA,0.0180823709677,24.6451612903,1.53039056452,10.9516129032,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Akron, OH",11.0,41.0741543784,-81.4524787477,14.6106027477,50.1481481481,12.625,50.0,NA,NA,NA,NA,NA,NA,NA,0.3835417,5.16666666667,NA,NA,NA,NA,2.2884651,9.26666666667,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Akron, OH",12.0,41.0750347387,-81.4550969459,12.8653894234,46.3012048193,15.62,55.0,NA,NA,NA,NA,NA,NA,NA,0.342338725806,4.12903225806,NA,NA,NA,NA,4.34001401613,13.3870967742,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Albany, GA",1.0,31.576917,-84.100194,12.0588235294,44.0588235294,13.4729611636,48.8076923077,22.4,21.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0
"Albany, GA",2.0,31.576917,-84.100194,9.30952380952,36.8095238095,10.4960111224,41.2083333333,6.6,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0
"Albany, GA",3.0,31.576917,-84.100194,18.7541666667,60.9166666667,15.3361889839,53.1290322581,23.0,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0
"Albany, GA",4.0,31.576917,-84.100194,20.1863636364,66.5454545455,15.2852682712,54.6206896552,28.6,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0
"Albany, GA",5.0,31.576917,-84.100194,12.124137931,46.7931034483,12.8428652778,49.3703703704,34.4,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0
"Albany, GA",6.0,31.576917,-84.100194,11.7636363636,44.8636363636,11.6525553818,44.04,16.6,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0
"Albany, GA",7.0,31.576917,-84.100194,10.1032258065,40.3870967742,10.8728799839,42.3548387097,25.5,23.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0
"Albany, GA",8.0,31.576917,-84.100194,9.16296296296,37.3703703704,7.66498191304,31.6818181818,14.8,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0
"Albany, GA",9.0,31.576917,-84.100194,11.8296296296,46.2222222222,9.84842152273,40.7142857143,16.8,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0
