CBSA Name,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010,alone,alone_frac,carpool,carpool_frac,other,other_frac,pt,pt_frac,total_trans,Precip,Pressure,RH,Site,Temp,Wind
"Aberdeen, SD",45.4625,-98.486111,8.51379310345,33.9396551724,NA,NA,19.5789473684,18.1403508772,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1003.6,1015.43824568,NA,726590-14929-2010,41.3391556414,8.5242960768
"Adrian, MI",41.995568,-83.946559,8.91794871795,34.6153846154,10.4016666667,39.55,NA,NA,NA,NA,NA,NA,0.0352754397163,42.3191489362,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,858.4,1016.13597032,NA,725404-04847-2010,49.4911228579,6.42733804486
"Akron, OH",41.0753438743,-81.4533316079,14.3432013623,50.1191256831,12.3254237288,45.3728813559,NA,NA,0.340383305479,4.26164383562,NA,NA,0.0289044186047,39.3023255814,2.30889970604,10.5947802198,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0,1163.1,1015.60423613,NA,724303-14813-2010,48.129517813,6.304203593
"Albany, GA",31.576917,-84.100194,12.5656028369,46.719858156,12.510844609,46.987804878,20.7540983607,19.262295082,NA,NA,NA,NA,NA,NA,NA,NA,10500,Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0,1389.2,1017.32895584,NA,722160-13869-2010,65.8566725271,4.56589334567
"Albany-Lebanon, OR",44.3958,-122.7305,12.1352941176,46.5294117647,6.40360004208,25.5037406484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10540,Micropolitan Statistical Area,116672.0,2290.1,50.9,1420.0,33172.0,0.778959727604,4206.0,0.0987671715393,4996.0,0.117318304567,211.0,0.00495479628977,42585.0,NA,NA,NA,NA,NA,NA
"Albany-Schenectady-Troy, NY",42.6493384477,-73.7551352708,8.00505415162,31.2761732852,8.28575482067,32.9706498952,NA,NA,0.339692743989,4.24469589816,NA,NA,0.0302455638736,33.2596153846,1.80346716102,4.16760828625,10580,Metropolitan Statistical Area,870716.0,2811.6,309.7,2944.9,350401.0,0.805241870619,35349.0,0.0812340572216,36603.0,0.0841158221303,12797.0,0.0294082500287,435150.0,1379.0,1013.67658516,NA,725180-14735-2010,49.8825254643,6.42476285298
"Albuquerque, NM",35.1021123033,-106.582299943,5.23505007153,21.6795422031,6.55078602728,26.1600719424,28.2565172054,25.5714285714,0.406902131034,6.075,12.1016143824,27.0878186969,0.0331261141425,39.0673719376,NA,NA,10740,Metropolitan Statistical Area,887077.0,9282.5,95.6,3518.6,312856.0,0.801865901169,37598.0,0.0963655936026,33740.0,0.0864773426287,5966.0,0.0152911626,390160.0,NA,NA,NA,723653-99999-2010,53.6,15.6803093333
"Alexandria, LA",31.177638,-92.410611,9.20588235294,36.9915966387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10780,Metropolitan Statistical Area,153922.0,1961.0,78.5,803.2,50113.0,0.838094123156,6165.0,0.103103990367,2784.0,0.0465598555039,732.0,0.012242030973,59794.0,1268.9,1016.48920682,NA,747540-93915-2010,65.8287047466,4.93734664592
"Allegan, MI",42.767786,-86.148577,8.52148760331,32.9421487603,NA,NA,NA,NA,NA,NA,NA,NA,0.0368185978261,43.9891304348,NA,NA,10880,Micropolitan Statistical Area,111408.0,825.2,135.0,349.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1270.4,1015.35750895,NA,725394-04839-2010,49.8496485573,6.49572414459
"Allentown-Bethlehem-Easton, PA-NJ",40.658948076,-75.3264727374,11.8942830487,41.578465063,8.875313505,36.015503876,17.0646067416,15.7457865169,0.32037502809,3.70786516854,10.7605697095,21.2206703911,0.0306320837209,44.3550387597,2.28639830635,14.2166301969,10900,Metropolitan Statistical Area,821173.0,1453.2,565.1,3889.3,277398.0,0.821185191325,28982.0,0.0857958212207,27152.0,0.0803784465456,4270.0,0.0126405409086,337802.0,1795.7,1014.14614252,NA,725170-14737-2010,53.0197374251,6.04380210713
