season,SO2,NO2,CO,OZONE,PM10,PM25,id,city,population,popdense,area,other_frac,car_frac,pt_frac,Car,PT,Other,Temp,RH,Pressure,Wind,Precip
Winter,NA,NA,NA,32.6144428571,NA,NA,AlesWinter,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,35.7131567568,NA,1013.6451522,5.41679910919,138.6
Winter,NA,NA,NA,32.6144428571,NA,NA,AlesWinter,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,35.7131567568,NA,1013.6451522,5.41679910919,138.6
Spring,NA,NA,NA,41.3932345679,NA,NA,AlesSpring,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,54.4005111821,NA,1015.53681941,5.23574028541,279.5
Spring,NA,NA,NA,41.3932345679,NA,NA,AlesSpring,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,54.4005111821,NA,1015.53681941,5.23574028541,279.5
Summer,NA,NA,NA,49.1379677419,NA,NA,AlesSummer,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,63.9723762376,NA,1017.0278975,3.70330345831,90.8
Summer,NA,NA,NA,49.1379677419,NA,NA,AlesSummer,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,63.9723762376,NA,1017.0278975,3.70330345831,90.8
Fall,NA,NA,NA,43.4404767442,NA,NA,AlesFall,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,45.3784554455,NA,1012.0496973,5.12193704776,216.4
Fall,NA,NA,NA,43.4404767442,NA,NA,AlesFall,Ales,113769.0,451.503904752,251.97788724,NA,NA,NA,NA,NA,NA,45.3784554455,NA,1012.0496973,5.12193704776,216.4
Winter,NA,NA,NA,50.8479545455,NA,NA,AngersWinter,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,39.2480763116,NA,1013.65151033,6.45812011864,164.5
Spring,NA,NA,NA,75.0336666667,NA,NA,AngersSpring,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,56.2100956429,NA,1016.18315622,6.08157508183,130.3
Summer,NA,NA,NA,66.9748709677,NA,NA,AngersSummer,Angers,403765.0,698.846543199,577.75917178,NA,NA,NA,NA,NA,NA,67.047337902,NA,1017.928097,5.06761239852,96.6
