CBSA Name,month,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,TEMP,PRESS,RH,DP,WIND,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010
"Aberdeen, SD",1.0,45.4625,-98.486111,5.31,21.8,NA,NA,6.3,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0
"Aberdeen, SD",2.0,45.4625,-98.486111,5.54,23.1,NA,NA,11.5555555556,10.5555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0
"Aberdeen, SD",3.0,45.4625,-98.486111,7.65,28.8,NA,NA,15.0,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0
"Aberdeen, SD",4.0,45.4625,-98.486111,4.91,20.6,NA,NA,14.7,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0
"Aberdeen, SD",5.0,45.4625,-98.486111,5.08,21.4,NA,NA,23.5,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0
"Aberdeen, SD",6.0,45.4625,-98.486111,4.4,18.2222222222,NA,NA,16.1,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0
"Aberdeen, SD",7.0,45.4625,-98.486111,7.06363636364,29.1818181818,NA,NA,22.625,20.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0
"Aberdeen, SD",8.0,45.4625,-98.486111,7.59,31.3,NA,NA,18.3,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0
"Aberdeen, SD",9.0,45.4625,-98.486111,4.96,20.7,NA,NA,21.4,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0
"Aberdeen, SD",10.0,45.4625,-98.486111,5.23333333333,21.8888888889,NA,NA,29.4,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0
"Aberdeen, SD",11.0,45.4625,-98.486111,6.27,26.1,NA,NA,16.2,15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0
"Aberdeen, SD",12.0,45.4625,-98.486111,10.5444444444,40.3333333333,NA,NA,13.3,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0
"Adjuntas, PR",1.0,18.175378,-66.725988,3.2,13.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10260,Micropolitan Statistical Area,19483.0,66.7,292.1,954.2
"Adjuntas, PR",3.0,18.175378,-66.725988,4.525,18.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10260,Micropolitan Statistical Area,19483.0,66.7,292.1,954.2
"Adjuntas, PR",4.0,18.175378,-66.725988,5.3625,22.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10260,Micropolitan Statistical Area,19483.0,66.7,292.1,954.2
"Adjuntas, PR",5.0,18.175378,-66.725988,4.21,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10260,Micropolitan Statistical Area,19483.0,66.7,292.1,954.2
"Adjuntas, PR",6.0,18.175378,-66.725988,7.78571428571,31.7142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10260,Micropolitan Statistical Area,19483.0,66.7,292.1,954.2
"Adjuntas, PR",7.0,18.175378,-66.725988,10.5,44.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10260,Micropolitan Statistical Area,19483.0,66.7,292.1,954.2
"Adjuntas, PR",8.0,18.175378,-66.725988,8.55,35.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10260,Micropolitan Statistical Area,19483.0,66.7,292.1,954.2
"Adjuntas, PR",9.0,18.175378,-66.725988,5.0,21.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10260,Micropolitan Statistical Area,19483.0,66.7,292.1,954.2
"Adjuntas, PR",12.0,18.175378,-66.725988,2.9,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10260,Micropolitan Statistical Area,19483.0,66.7,292.1,954.2
"Adrian, MI",1.0,41.995568,-83.946559,9.6,37.9,8.60847311667,33.9677419355,NA,NA,16.3198924839,983.086021516,NA,NA,6.6057796129,NA,NA,NA,NA,NA,NA,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5
"Adrian, MI",2.0,41.995568,-83.946559,15.28,54.5,12.2047757,47.0769230769,NA,NA,18.4523809643,986.074404786,NA,NA,5.58392853571,NA,NA,NA,NA,NA,NA,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5
"Adrian, MI",3.0,41.995568,-83.946559,8.175,34.0,10.7926941493,42.4722222222,NA,NA,28.2943548387,986.180107452,NA,NA,5.75389783871,NA,NA,NA,NA,0.032,27.0,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5
"Adrian, MI",4.0,41.995568,-83.946559,6.65,27.7,8.17977205357,32.6551724138,NA,NA,48.5772223,983.014444433,NA,NA,5.9385,NA,NA,NA,NA,0.0408334666667,44.3333333333,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5
"Adrian, MI",5.0,41.995568,-83.946559,6.38,26.5,7.22023809524,29.652173913,NA,NA,60.857526871,984.607526968,NA,NA,4.66223122581,NA,NA,NA,NA,0.0359586538462,40.7307692308,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5
