CBSA Name,month,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010,alone,alone_frac,carpool,carpool_frac,other,other_frac,pt,pt_frac,total_trans,Temp,RH,Pressure,Wind,Precip
"Aberdeen, SD",1.0,45.4625,-98.486111,12.34,46.8,NA,NA,14.4,13.4,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SD1",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6565512159,NA,1022.36971831,9.48699921592,38.6
"Aberdeen, SD",2.0,45.4625,-98.486111,16.0333333333,56.6666666667,NA,NA,21.0,19.5,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SD2",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1659280169,NA,1023.17117347,6.68560241637,26.6
"Aberdeen, SD",3.0,45.4625,-98.486111,10.5333333333,40.4444444444,NA,NA,17.4,16.0,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SD3",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.832593801,NA,1016.56262976,8.28288298858,38.3
"Aberdeen, SD",4.0,45.4625,-98.486111,7.52,31.2,NA,NA,24.8,23.0,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SD4",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9338304392,NA,1010.86785714,9.6599098956,109.4
"Aberdeen, SD",5.0,45.4625,-98.486111,6.05,25.4,NA,NA,20.8,19.2,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SD5",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.197976081,NA,1012.83721198,10.1840390866,181.6
"Aberdeen, SD",6.0,45.4625,-98.486111,6.84,28.5,NA,NA,21.2,19.8,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SD6",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3338899431,NA,1011.78,7.7219598327,211.9
"Aberdeen, SD",7.0,45.4625,-98.486111,8.40909090909,34.9090909091,NA,NA,21.0,19.3333333333,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SD7",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.3268951613,NA,1011.71937716,7.53208547879,92.8
"Aberdeen, SD",8.0,45.4625,-98.486111,9.2,38.4,NA,NA,25.2,23.4,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SD8",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.0978830645,NA,1010.24525463,8.0055153731,44.5
"Aberdeen, SD",9.0,45.4625,-98.486111,4.02222222222,16.7777777778,NA,NA,12.3333333333,11.3333333333,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SD9",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.069137931,NA,1014.15818399,8.82383853987,149.3
"Aberdeen, SD",10.0,45.4625,-98.486111,7.55,30.7,NA,NA,30.1666666667,28.1666666667,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SD10",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9378415842,NA,1015.08316032,8.40329560278,44.5
