CBSA Name,Latitude,Longitude,Value,Pollutant
"Aberdeen, SD",45.4625,-98.486111,8.513793103,PM2.5
"Adrian, MI",41.995568,-83.946559,8.917948718,PM2.5
"Akron, OH",41.07534387,-81.45333161,14.34320136,PM2.5
"Albany, GA",31.576917,-84.100194,12.56560284,PM2.5
"Albany-Lebanon, OR",44.3958,-122.7305,12.13529412,PM2.5
"Albany-Schenectady-Troy, NY",42.64933845,-73.75513527,8.005054152,PM2.5
"Albuquerque, NM",35.1021123,-106.5822999,5.235050072,PM2.5
"Alexandria, LA",31.177638,-92.410611,9.205882353,PM2.5
"Allegan, MI",42.767786,-86.148577,8.521487603,PM2.5
"Allentown-Bethlehem-Easton, PA-NJ",40.65894808,-75.32647274,11.89428305,PM2.5
"Altoona, PA",40.535278,-78.370833,6.245014903,PM2.5
"Amarillo, TX",35.201584,-101.909248,5.94375,PM2.5
"Anchorage, AK",61.32970154,-149.6073523,5.16688512,PM2.5
"Anderson, IN",40.12368229,-85.65627135,11.05536041,PM2.5
"Ann Arbor, MI",42.240565,-83.599602,9.331073446,PM2.5
"Appleton, WI",44.30738,-88.395134,9.758823529,PM2.5
"Asheville, NC",35.56625914,-82.74377597,10.39069767,PM2.5
"Athens, OH",39.442165,-81.908827,9.241818182,PM2.5
"Athens-Clarke County, GA",33.918067,-83.344495,11.38058252,PM2.5
"Atlanta-Sandy Springs-Marietta, GA",33.8453635,-84.42455873,12.56556448,PM2.5
"Atlantic City, NJ",39.41493448,-74.44001959,8.847008547,PM2.5
"Augusta-Richmond County, GA-SC",33.54550761,-81.9565029,11.75414365,PM2.5
"Augusta-Waterville, ME",44.312319,-69.786717,6.572941176,PM2.5
"Austin-Round Rock, TX",30.37221069,-97.79188762,9.246902655,PM2.5
"Bakersfield, CA",35.34879869,-118.8257388,13.82070916,PM2.5
"Baltimore-Towson, MD",39.29799095,-76.58340733,11.38233222,PM2.5
"Bangor, ME",44.79886,-68.769675,7.054237288,PM2.5
"Baraboo, WI",43.4351,-89.6797,8.502702703,PM2.5
"Baton Rouge, LA",30.42607437,-91.19754495,10.52356378,PM2.5
"Bay City, MI",43.571391,-83.890721,8.147933884,PM2.5
"Beaumont-Port Arthur, TX",30.004983,-93.83437303,10.61978022,PM2.5
"Beaver Dam, WI",43.466111,-88.621111,9.213385154,PM2.5
"Beckley, WV",37.807767,-81.197433,10.32916667,PM2.5
"Bend, OR",44.063916,-121.312554,4.535185185,PM2.5
"Bennington, VT",42.88759,-73.24984,6.925,PM2.5
"Birmingham-Hoover, AL",33.53740179,-86.90415761,11.95628627,PM2.5
"Bishop, CA",36.487823,-117.871036,7.171778693,PM2.5
"Bismarck, ND",46.825425,-100.76821,7.750290185,PM2.5
"Bloomington, IN",39.159383,-86.504762,11.92449431,PM2.5
"Bloomington-Normal, IL",40.518735,-88.996896,10.49145299,PM2.5
"Boise City-Nampa, ID",43.5934577,-116.4241489,11.13418918,PM2.5
"Boone, NC",36.221944,-81.663056,8.824369748,PM2.5
"Boston-Cambridge-Quincy, MA-NH",42.57994931,-70.98268804,8.421475791,PM2.5
"Boulder, CO",40.09224361,-105.1827906,6.963636364,PM2.5
"Bowling Green, KY",37.035438,-86.250628,11.50632184,PM2.5
"Bozeman, MT",44.92217939,-111.1211956,6.844667204,PM2.5
"Bradenton-Sarasota-Venice, FL",27.290556,-82.507222,7.240397351,PM2.5
"Brainerd, MN",47.159942,-94.150987,4.722222222,PM2.5
"Bridgeport-Stamford-Norwalk, CT",41.17355871,-73.34260583,8.75954416,PM2.5
"Brigham City, UT",41.492707,-112.018863,8.126890756,PM2.5
"Brookings, SD",44.310283,-96.80071,8.687288136,PM2.5
"Brownsville-Harlingen, TX",26.06961,-97.162206,9.677358491,PM2.5
"Brunswick, GA",31.169735,-81.495881,10.67692308,PM2.5
"Buffalo-Niagara Falls, NY",42.90759227,-78.85601333,9.884707904,PM2.5
"Burlington, NC",36.089004,-79.407821,11.08677686,PM2.5
"Burlington-South Burlington, VT",44.49622599,-73.09988446,6.527019499,PM2.5
"Butte-Silver Bow, MT",46.002602,-112.501247,8.715910538,PM2.5
"Cadillac, MI",44.310555,-84.891865,5.945945946,PM2.5
"Canton-Massillon, OH",40.78996826,-81.38946103,14.31553785,PM2.5
"Cape Coral-Fort Myers, FL",26.602016,-81.877908,6.910126582,PM2.5
"Casper, WY",42.851064,-106.325088,4.563793103,PM2.5
"Cedar Rapids, IA",41.98383279,-91.68557435,10.87650728,PM2.5
"Champaign-Urbana, IL",40.06856133,-88.34073689,11.19722222,PM2.5
"Charleston, WV",38.35606303,-81.661562,12.4,PM2.5
"Charleston-North Charleston, SC",32.87361789,-79.997958,9.514789534,PM2.5
"Charlotte-Gastonia-Concord, NC-SC",35.24884427,-80.88021855,11.27096447,PM2.5
"Charlottesville, VA",38.07657,-78.50397,9.424166667,PM2.5
"Chattanooga, TN-GA",35.04274698,-85.26937879,11.52690167,PM2.5
"Cheyenne, WY",41.139976,-104.817801,4.083333333,PM2.5
"Chicago-Naperville-Joliet, IL-IN-WI",41.79394391,-87.58301846,12.82297061,PM2.5
"Chico, CA",39.757371,-121.843286,7.987931034,PM2.5
"Cincinnati-Middletown, OH-KY-IN",39.19154862,-84.43283871,13.2836742,PM2.5
"Clarksburg, WV",39.278117,-80.34225,11.96396396,PM2.5
"Clarksville, TN-KY",36.91171,-87.323337,11.15811966,PM2.5
"Clearlake, CA",39.0327,-122.92229,3.075409836,PM2.5
"Cleveland, MS",33.746056,-90.723028,10.6025,PM2.5
"Cleveland-Elyria-Mentor, OH",41.41941166,-81.7296049,11.40398897,PM2.5
"Clinton, IA",41.8487716,-90.19502377,12.26114286,PM2.5
"Colorado Springs, CO",38.848014,-104.828564,6.187394958,PM2.5
"Columbia, SC",34.02872753,-81.06940939,11.25613426,PM2.5
