CBSA Name,season,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010,alone,alone_frac,carpool,carpool_frac,other,other_frac,pt,pt_frac,total_trans,Temp,RH,Pressure,Wind,Precip
"Aberdeen, SD",Fall,45.4625,-98.486111,7.87586206897,31.5517241379,NA,NA,19.6428571429,18.2142857143,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SDFall",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.0681431335,NA,1016.84332273,8.19375320116,89.1
"Aberdeen, SD",Spring,45.4625,-98.486111,6.9,28.8064516129,NA,NA,21.375,19.8125,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SDSpring",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6378954041,NA,1011.70656682,9.50266942558,451.0
"Aberdeen, SD",Summer,45.4625,-98.486111,7.64838709677,31.8387096774,NA,NA,21.0666666667,19.4666666667,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SDSummer",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.79602115,NA,1011.90922538,8.00330068125,324.2
"Aberdeen, SD",Winter,45.4625,-98.486111,12.328,45.68,NA,NA,15.25,14.1666666667,NA,NA,NA,NA,NA,NA,NA,NA,"Aberdeen, SDWinter",Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7677535363,NA,1021.53020376,8.40758568784,139.3
"Adrian, MI",Fall,41.995568,-83.946559,8.57857142857,34.1428571429,11.7133333333,44.7333333333,NA,NA,NA,NA,NA,NA,0.0248786666667,29.3333333333,NA,NA,"Adrian, MIFall",Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7537549407,NA,1016.75236111,6.97623354134,186.2
"Adrian, MI",Spring,41.995568,-83.946559,7.02333333333,28.8666666667,7.6375,31.1875,NA,NA,NA,NA,NA,NA,0.0375278297872,44.170212766,NA,NA,"Adrian, MISpring",Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9805995865,NA,1014.73310932,7.04379001999,404.5
"Adrian, MI",Summer,41.995568,-83.946559,9.84193548387,37.6774193548,12.0,45.1428571429,NA,NA,NA,NA,NA,NA,0.0351308352941,42.6705882353,NA,NA,"Adrian, MISummer",Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.7630946384,NA,1015.66281703,4.7645429341,236.7
"Adrian, MI",Winter,41.995568,-83.946559,10.2642857143,37.8571428571,10.5466666667,38.0666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adrian, MIWinter",Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7314977029,NA,1017.45287037,6.82618263032,31.0
"Akron, OH",Fall,41.0744736656,-81.4535920712,13.4298895635,46.9576271186,12.8714285714,48.3571428571,NA,NA,0.351967611111,4.42777777778,NA,NA,0.0184320625,24.9375,2.42225652222,10.3444444444,"Akron, OHFall",Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0,41.3012981228,NA,1016.17935185,6.90774662763,340.6
"Akron, OH",Spring,41.0747084023,-81.453972207,12.5733388076,45.8247011952,9.53125,37.5,NA,NA,0.320367639785,3.9247311828,NA,NA,0.030841246988,39.2168674699,2.12613096237,9.58602150538,"Akron, OHSpring",Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0,58.5461081081,NA,1014.49677419,6.11478590335,380.9
"Akron, OH",Summer,41.0744383604,-81.4549261832,16.7173011832,56.4163265306,14.26,51.3333333333,NA,NA,0.33763586413,4.00543478261,NA,NA,0.0317102608696,45.625,1.6897972967,9.77472527473,"Akron, OHSummer",Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0,71.98446793,NA,1015.55983681,5.32313107692,303.4
"Akron, OH",Winter,41.0791561619,-81.4493561381,14.8740933952,51.6557377049,12.9,45.0,NA,NA,0.35229035,4.70555555556,NA,NA,NA,NA,3.01038525,12.7166666667,"Akron, OHWinter",Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0,27.9051945946,NA,1016.21884259,6.673779988,138.2
"Albany, GA",Fall,31.576917,-84.100194,11.3825396825,43.8571428571,12.7163377389,48.1777777778,19.4666666667,18.0666666667,NA,NA,NA,NA,NA,NA,NA,NA,"Albany, GAFall",Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0,60.4382332155,NA,1018.49273504,4.34593609397,175.8
"Albany, GA",Spring,31.576917,-84.100194,15.2445945946,54.4189189189,14.054548564,51.5180722892,25.125,23.3125,NA,NA,NA,NA,NA,NA,NA,NA,"Albany, GASpring",Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0,72.4129848594,NA,1016.57805643,4.53354781831,405.2
