CBSA Name,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,TEMP,PRESS,RH,DP,WIND,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010,alone,alone_frac,carpool,carpool_frac,other,other_frac,pt,pt_frac,total_trans
"Aberdeen, SD",45.4625,-98.486111,8.51379310345,33.9396551724,NA,NA,19.5789473684,18.1403508772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10100,Micropolitan Statistical Area,40602.0,2838.9,14.3,934.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian, MI",41.995568,-83.946559,8.91794871795,34.6153846154,10.4016666667,39.55,NA,NA,50.8853881342,983.402283101,NA,NA,4.06774543014,NA,NA,NA,NA,0.0352754397163,42.3191489362,NA,NA,10300,Micropolitan Statistical Area,99892.0,749.6,133.3,846.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akron, OH",41.0753438743,-81.4533316079,14.3432013623,50.1191256831,12.3254237288,45.3728813559,NA,NA,NA,NA,NA,NA,NA,0.340383305479,4.26164383562,NA,NA,0.0289044186047,39.3023255814,2.30889970604,10.5947802198,10420,Metropolitan Statistical Area,703200.0,900.1,781.2,2412.8,279452.0,0.862532794222,21925.0,0.0676718417235,18393.0,0.0567702706874,4220.0,0.0130250933671,323990.0
"Albany, GA",31.576917,-84.100194,12.5656028369,46.719858156,12.510844609,46.987804878,20.7540983607,19.262295082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,Metropolitan Statistical Area,157308.0,1932.6,81.4,922.7,46696.0,0.794906713877,7895.0,0.134396704344,3525.0,0.0600061282854,628.0,0.0106904534931,58744.0
"Albany-Lebanon, OR",44.3958,-122.7305,12.1352941176,46.5294117647,6.40360004208,25.5037406484,NA,NA,NA,NA,NA,NA,5.38929941176,NA,NA,NA,NA,NA,NA,NA,NA,10540,Micropolitan Statistical Area,116672.0,2290.1,50.9,1420.0,33172.0,0.778959727604,4206.0,0.0987671715393,4996.0,0.117318304567,211.0,0.00495479628977,42585.0
"Albany-Schenectady-Troy, NY",42.6493384477,-73.7551352708,8.00505415162,31.2761732852,8.28575482067,32.9706498952,NA,NA,49.9556248584,987.099064526,70.3023592761,NA,4.37998468792,0.339692743989,4.24469589816,NA,NA,0.0302455638736,33.2596153846,1.80346716102,4.16760828625,10580,Metropolitan Statistical Area,870716.0,2811.6,309.7,2944.9,350401.0,0.805241870619,35349.0,0.0812340572216,36603.0,0.0841158221303,12797.0,0.0294082500287,435150.0
"Albuquerque, NM",35.1021123033,-106.582299943,5.23505007153,21.6795422031,6.55078602728,26.1600719424,28.2565172054,25.5714285714,58.7340301048,824.934144083,39.531011354,NA,NA,0.406902131034,6.075,12.1016143824,27.0878186969,0.0331261141425,39.0673719376,NA,NA,10740,Metropolitan Statistical Area,887077.0,9282.5,95.6,3518.6,312856.0,0.801865901169,37598.0,0.0963655936026,33740.0,0.0864773426287,5966.0,0.0152911626,390160.0
"Alexandria, LA",31.177638,-92.410611,9.20588235294,36.9915966387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10780,Metropolitan Statistical Area,153922.0,1961.0,78.5,803.2,50113.0,0.838094123156,6165.0,0.103103990367,2784.0,0.0465598555039,732.0,0.012242030973,59794.0
"Allegan, MI",42.767786,-86.148577,8.52148760331,32.9421487603,NA,NA,NA,NA,50.4253176575,992.652139153,73.6658675753,NA,3.56513128767,NA,NA,NA,NA,0.0368185978261,43.9891304348,NA,NA,10880,Micropolitan Statistical Area,111408.0,825.2,135.0,349.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allentown-Bethlehem-Easton, PA-NJ",40.658948076,-75.3264727374,11.8942830487,41.578465063,8.875313505,36.015503876,17.0646067416,15.7457865169,NA,NA,NA,NA,NA,0.32037502809,3.70786516854,10.7605697095,21.2206703911,0.0306320837209,44.3550387597,2.28639830635,14.2166301969,10900,Metropolitan Statistical Area,821173.0,1453.2,565.1,3889.3,277398.0,0.821185191325,28982.0,0.0857958212207,27152.0,0.0803784465456,4270.0,0.0126405409086,337802.0
"Altoona, PA",40.535278,-78.370833,6.2450149025,24.730964467,NA,NA,16.4904109589,15.2575342466,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0294220747664,41.738317757,4.72303420548,17.1671232877,11020,Metropolitan Statistical Area,127089.0,525.8,241.7,2428.7,51740.0,0.843536527708,5125.0,0.0835547874855,4279.0,0.0697621337855,193.0,0.00314655102141,61337.0
"Amarillo, TX",35.201584,-101.909248,5.94375,24.625,5.93381581466,24.5988857939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11100,Metropolitan Statistical Area,249881.0,3649.2,68.5,2591.4,93862.0,0.811779459459,14998.0,0.129712432432,6482.0,0.0560605405405,283.0,0.00244756756757,115625.0
"Anchorage, AK",61.3297015389,-149.607352284,5.16688512025,20.8676861702,1.37291666667,5.775,16.3786539769,14.8205302515,NA,NA,NA,NA,NA,0.921398552408,15.895184136,NA,NA,0.0172191025641,21.0839160839,NA,NA,11260,Metropolitan Statistical Area,380821.0,26312.6,14.5,3006.9,141199.0,0.759334448322,23534.0,0.126560222854,18187.0,0.0978053358143,3031.0,0.0162999930089,185951.0
"Anderson, IN",40.1236822897,-85.6562713458,11.0553604136,42.9333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0344322663043,40.8206521739,NA,NA,11300,Metropolitan Statistical Area,131636.0,451.9,291.3,1327.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ann Arbor, MI",42.240565,-83.599602,9.33107344633,35.9491525424,NA,NA,NA,NA,51.8966134027,987.611757995,NA,NA,3.61809551507,NA,NA,NA,NA,0.0319519945652,39.1358695652,NA,NA,11460,Metropolitan Statistical Area,344791.0,706.0,488.4,3363.5,153316.0,0.760126525796,17234.0,0.0854445755536,23127.0,0.114661523664,8021.0,0.0397673749864,201698.0
"Appleton, WI",44.30738,-88.395134,9.75882352941,36.8991596639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0309807298578,34.6777251185,NA,NA,11540,Metropolitan Statistical Area,225666.0,955.8,236.1,1950.0,93144.0,0.840649819495,8281.0,0.074738267148,8578.0,0.0774187725632,797.0,0.00719314079422,110800.0
"Asheville, NC",35.5662591362,-82.7437759701,10.3906976744,41.1196013289,9.30762535525,36.6858846918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0365086028037,43.2126168224,NA,NA,11700,Metropolitan Statistical Area,424858.0,2033.0,209.0,728.7,152450.0,0.805025003564,19485.0,0.102892175759,16576.0,0.0875309574227,862.0,0.004551863254,189373.0
"Athens, OH",39.442165,-81.908827,9.24181818182,37.4,NA,NA,NA,NA,54.2620352247,971.840303915,77.5446722685,NA,NA,NA,NA,4.02835839779,8.05524861878,0.0311183179724,39.1382488479,4.97182170994,17.4143646409,11900,Micropolitan Statistical Area,64757.0,503.6,128.6,2950.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
